date, pm10, o3, no2, so2, co
2021/1/9, 30, 8, 16, , 
2021/1/10, 26, 4, 25, , 
2021/1/11, 41, 25, 19, , 
2021/1/12, 20, 24, 26, , 
2021/1/13, 14, 22, 24, , 
2021/1/14, 12, 11, 22, , 
2021/1/15, 23, 15, 21, , 
2021/1/16, 30, 14, 23, , 
2021/1/17, 24, 24, 24, , 
2021/1/18, 12, 29, 27, , 
2021/1/19, 19, 23, 38, , 
2021/1/20, 36, 21, 46, , 
2021/1/21, 60, 21, 30, , 
2021/1/22, 33, 21, 20, , 
2021/1/23, 21, 28, 14, , 
2021/1/24, 17, 16, 30, , 
2021/1/25, 23, 26, 21, , 
2021/1/26, 15, 21, 33, , 
2021/1/27, 16, 19, 20, , 
2021/1/28, 11, 27, 15, , 
2021/1/29, 6, 27, 16, , 
2021/1/30, 10, 18, 9, , 
2021/1/31, 14, 22, 19, , 
2020/10/1, 20, 21, 15, , 
2020/10/2, 13, 30, 12, , 
2020/10/3, 7, 28, 17, , 
2020/10/4, 8, 18, 27, , 
2020/10/5, 13, 17, 24, , 
2020/10/6, 13, 20, 23, , 
2020/10/7, 12, 22, 26, , 
2020/10/8, 13, 19, 26, , 
2020/10/9, 20, 17, 24, , 
2020/10/10, 16, 23, 19, , 
2020/10/11, 11, 14, 26, , 
2020/10/12, 18, 11, 25, , 
2020/10/13, 20, 15, 25, , 
2020/10/14, 17, 10, 19, , 
2020/10/15, 14, 12, 22, , 
2020/10/16, 13, 15, 21, , 
2020/10/17, 15, 19, 19, , 
2020/10/18, 17, 17, 17, , 
2020/10/19, 17, 5, 25, , 
2020/10/20, 19, 10, 29, , 
2020/10/21, 29, 2, 29, , 
2020/10/22, 31, 19, 26, , 
2020/10/23, 27, 18, 23, , 
2020/10/24, 13, 12, 14, , 
2020/10/25, 13, 20, 21, , 
2020/10/26, 12, 18, 25, , 
2020/10/27, 12, 16, 26, , 
2020/10/28, 13, 21, 24, , 
2020/10/29, 11, 17, 23, , 
2020/10/30, 12, 14, 18, , 
2020/10/31, 17, 11, 23, , 
2020/11/1, 18, 15, 25, , 
2020/11/2, 14, 18, 27, , 
2020/11/3, 18, 20, 18, , 
2020/11/4, 13, 15, 14, , 
2020/11/5, 17, 3, 13, , 
2020/11/6, 21, 3, 12, , 
2020/11/7, 14, 2, 13, , 
2020/11/8, 14, 1, 14, , 
2020/11/9, 22, 1, 14, , 
2020/11/10, 22, 1, 15, , 
2020/11/11, 22, 9, 25, , 
2020/11/12, 19, 13, 30, , 
2020/11/13, 22, 14, 22, , 
2020/11/14, 15, 17, 18, , 
2020/11/15, 18, 20, 25, , 
2020/11/16, 11, 18, 27, , 
2020/11/17, 19, 2, 26, , 
2020/11/18, 28, 20, 28, , 
2020/11/19, 16, 21, 24, , 
2020/11/20, 17, 20, 21, , 
2020/11/21, 15, 10, 25, , 
2020/11/22, 18, 9, 25, , 
2020/11/23, 29, 10, 14, , 
2020/11/24, 19, 3, 17, , 
2020/11/25, 25, 1, 21, , 
2020/11/26, 24, 2, 17, , 
2020/11/27, 21, 11, 13, , 
2020/11/28, 16, 17, 9, , 
2020/11/29, 14, 8, 20, , 
2020/11/30, 24, 2, 24, , 
2020/12/1, 19, 7, 18, , 
2020/12/2, 33, 7, 24, , 
2020/12/3, 38, 5, 27, , 
2020/12/4, 32, 7, 22, , 
2020/12/5, 28, 10, 19, , 
2020/12/6, 21, 15, 24, , 
2020/12/7, 12, 3, 22, , 
2020/12/8, 28, 1, 23, , 
2020/12/9, 26, 2, 19, , 
2020/12/10, 19, 4, 15, , 
2020/12/11, 18, 14, 22, , 
2020/12/12, 13, 12, 16, , 
2020/12/13, 7, 6, 20, , 
2020/12/14, 20, 1, 21, , 
2020/12/15, 32, , 16, , 
2020/12/16, 28, , 21, , 
2020/12/17, 32, , 19, , 
2020/12/18, 27, 1, 14, , 
2020/12/19, 16, 3, 13, , 
2020/12/20, 16, 2, 22, , 
2020/12/21, 16, 19, 15, , 
2020/12/22, 6, 18, 28, , 
2020/12/23, 22, 24, 12, , 
2020/12/24, 8, 20, 11, , 
2020/12/25, 6, 22, 17, , 
2020/12/26, 17, 13, 15, , 
2020/12/27, 15, 16, 27, , 
2020/12/28, 26, 18, 27, , 
2020/12/29, 27, 17, 27, , 
2020/12/30, 38, 15, 17, , 
2020/12/31, 22, 15, 20, , 
2021/1/1, 42, 11, 13, , 
2021/1/2, 28, 9, 16, , 
2021/1/3, 29, 11, 10, , 
2020/7/1, 28, 25, 27, , 
2020/7/2, 12, 30, 29, , 
2020/7/3, 16, 38, 28, , 
2020/7/4, 19, 29, 20, , 
2020/7/5, 13, 29, 24, , 
2020/7/6, 15, 36, 26, , 
2020/7/7, 15, 37, 34, , 
2020/7/8, 22, 34, 39, , 
2020/7/9, 26, 42, 37, , 
2020/7/10, 25, 26, 21, , 
2020/7/11, 11, 36, 9, , 
2020/7/12, 5, 39, 12, , 
2020/7/13, 11, 43, 34, , 
2020/7/14, 22, 40, 36, , 
2020/7/15, 25, 19, 28, , 
2020/7/16, 17, 34, 23, , 
2020/7/17, 14, 34, 25, , 
2020/7/18, 16, 46, 22, , 
2020/7/19, 15, 45, 44, , 
2020/7/20, 22, 42, 41, , 
2020/7/21, 25, 49, 30, , 
2020/7/22, 20, 44, 43, , 
2020/7/23, 28, 44, 36, , 
2020/7/24, 22, 38, 25, , 
2020/7/25, 16, 26, 20, , 
2020/7/26, 14, 31, 22, , 
2020/7/27, 12, 37, 34, , 
2020/7/28, 23, 37, 32, , 
2020/7/29, 19, 54, 39, , 
2020/7/30, 27, 67, 49, , 
2020/7/31, 32, 67, 41, , 
2020/8/1, 33, 40, 22, , 
2020/8/2, 14, 24, 29, , 
2020/8/3, 19, 22, 27, , 
2020/8/4, 14, 31, 13, , 
2020/8/5, 10, 40, 12, , 
2020/8/6, 13, 46, 22, , 
2020/8/7, 21, 55, 30, , 
2020/8/8, 30, 53, 25, , 
2020/8/9, 29, 49, 28, , 
2020/8/10, 30, 55, 27, , 
2020/8/11, 27, 49, 17, , 
2020/8/12, 28, 36, 33, , 
2020/8/13, 24, 38, 30, , 
2020/8/14, 17, 45, 18, , 
2020/8/15, 13, 42, 10, , 
2020/8/16, 12, 37, 32, , 
2020/8/17, 12, 24, 28, , 
2020/8/18, 17, 36, 23, , 
2020/8/19, 11, 40, 26, , 
2020/8/20, 15, 61, 28, , 
2020/8/21, 20, 27, 26, , 
2020/8/22, 15, 28, 19, , 
2020/8/23, 13, 33, 31, , 
2020/8/24, 14, 32, 31, , 
2020/8/25, 16, 32, 24, , 
2020/8/26, 16, 35, 27, , 
2020/8/27, 21, 37, 28, , 
2020/8/28, 19, 20, 20, , 
2020/8/29, 9, 27, 15, , 
2020/8/30, 7, 21, 22, , 
2020/8/31, 9, 25, 21, , 
2020/9/1, 16, 28, 26, , 
2020/9/2, 14, 35, 34, , 
2020/9/3, 16, 33, 32, , 
2020/9/4, 18, 42, 29, , 
2020/9/5, 19, 26, 18, , 
2020/9/6, 19, 18, 20, , 
2020/9/7, 18, 23, 22, , 
2020/9/8, 19, 29, 33, , 
2020/9/9, 21, 29, 25, , 
2020/9/10, 20, 33, 20, , 
2020/9/11, 25, 42, 31, , 
2020/9/12, 26, 43, 19, , 
2020/9/13, 21, 31, 23, , 
2020/9/14, 25, 44, 37, , 
2020/9/15, 31, 56, 41, , 
2020/9/16, 30, 40, 22, , 
2020/9/17, 37, 29, 9, , 
2020/9/18, 13, 27, 15, , 
2020/9/19, 17, 34, 17, , 
2020/9/20, 22, 36, 28, , 
2020/9/21, 25, 36, 31, , 
2020/9/22, 26, 20, 29, , 
2020/9/23, 17, 27, 23, , 
2020/9/24, 15, 24, 29, , 
2020/9/25, 11, 19, 13, , 
2020/9/26, 5, 25, 10, , 
2020/9/27, 3, 7, 21, , 
2020/9/28, 16, 11, 24, , 
2020/9/29, 15, 19, 19, , 
2020/9/30, 20, 14, 26, , 
2020/4/1, 26, 39, 38, , 
2020/4/2, 32, 40, 30, , 
2020/4/3, 31, 39, 16, , 
2020/4/4, 23, 39, 6, , 
2020/4/5, 17, 45, 34, , 
2020/4/6, 27, 51, 27, , 
2020/4/7, 30, 50, 40, , 
2020/4/8, 33, 56, 40, , 
2020/4/9, 31, 59, 22, , 
2020/4/10, 28, 45, 25, , 
2020/4/11, 20, 49, 24, , 
2020/4/12, 22, 47, 11, , 
2020/4/13, 17, 35, 18, , 
2020/4/14, 13, 35, 16, , 
2020/4/15, 20, 44, 43, , 
2020/4/16, 30, 53, 41, , 
2020/4/17, 32, 48, 30, , 
2020/4/18, 37, 42, 9, , 
2020/4/19, 21, 40, 5, , 
2020/4/20, 13, 43, 6, , 
2020/4/21, 14, 40, 9, , 
2020/4/22, 15, 47, 17, , 
2020/4/23, 20, 54, 40, , 
2020/4/24, 29, 57, 20, , 
2020/4/25, 25, 47, 12, , 
2020/4/26, 12, 38, 33, , 
2020/4/27, 22, 37, 31, , 
2020/4/28, 23, 25, 30, , 
2020/4/29, 12, 30, 28, , 
2020/4/30, 13, 30, 16, , 
2020/5/1, 9, 27, 18, , 
2020/5/2, 8, 39, 17, , 
2020/5/3, 8, 25, 32, , 
2020/5/4, 18, 22, 24, , 
2020/5/5, 22, 40, 25, , 
2020/5/6, 13, 41, 34, , 
2020/5/7, 22, 49, 47, , 
2020/5/8, 24, 50, 30, , 
2020/5/9, 27, 38, 16, , 
2020/5/10, 19, 25, 20, , 
2020/5/11, 18, 29, 13, , 
2020/5/12, 5, 23, 17, , 
2020/5/13, 14, 30, 18, , 
2020/5/14, 11, 30, 21, , 
2020/5/15, 15, 42, 15, , 
2020/5/16, 16, 55, 29, , 
2020/5/17, 18, 58, 41, , 
2020/5/18, 23, 51, 42, , 
2020/5/19, 25, 35, 26, , 
2020/5/20, 18, 42, 25, , 
2020/5/21, 18, 44, 40, , 
2020/5/22, 22, 32, 27, , 
2020/5/23, 19, 33, 16, , 
2020/5/24, 9, 31, 29, , 
2020/5/25, 16, 33, 23, , 
2020/5/26, 16, 41, 20, , 
2020/5/27, 15, 32, 25, , 
2020/5/28, 20, 33, 14, , 
2020/5/29, 9, 33, 14, , 
2020/5/30, 12, 38, 11, , 
2020/5/31, 12, 43, 8, , 
2020/6/1, 13, 43, 27, , 
2020/6/2, 23, 48, 43, , 
2020/6/3, 26, 35, 35, , 
2020/6/4, 21, 31, 26, , 
2020/6/5, 13, 20, 16, , 
2020/6/6, 10, 24, 19, , 
2020/6/7, 10, 33, 13, , 
2020/6/8, 6, 23, 16, , 
2020/6/9, 14, 22, 24, , 
2020/6/10, 23, 32, 17, , 
2020/6/11, 12, 43, 15, , 
2020/6/12, 11, 53, 30, , 
2020/6/13, 21, 32, 14, , 
2020/6/14, 11, 29, 29, , 
2020/6/15, 15, 28, 32, , 
2020/6/16, 19, 31, 21, , 
2020/6/17, 19, 33, 29, , 
2020/6/18, 10, 27, 30, , 
2020/6/19, 13, 28, 25, , 
2020/6/20, 13, 38, 26, , 
2020/6/21, 10, 25, 31, , 
2020/6/22, 22, 45, 26, , 
2020/6/23, 18, 46, 24, , 
2020/6/24, 25, 39, 14, , 
2020/6/25, 12, 44, 31, , 
2020/6/26, 23, 42, 28, , 
2020/6/27, 20, 37, 22, , 
2020/6/28, 19, 20, 26, , 
2020/6/29, 14, 31, 32, , 
2020/6/30, 12, 32, 34, , 
2020/1/1, 156, 3, 23, , 
2020/1/2, 41, 18, 29, , 
2020/1/3, 31, 26, 18, , 
2020/1/4, 14, 23, 21, , 
2020/1/5, 18, 9, 30, , 
2020/1/6, 24, 10, 40, , 
