date, pm10, o3, no2, so2, co
2020/10/13, 10, 15, 11, , 
2020/10/14, 9, 10, 10, , 
2020/10/15, 7, 12, 9, , 
2020/10/16, 7, 15, 6, , 
2020/10/17, 9, 19, 6, , 
2020/10/18, 11, 17, 9, , 
2020/10/19, 11, 5, 17, , 
2020/10/20, 16, 10, 18, , 
2020/10/21, 19, 4, 20, , 
2020/10/22, 22, 19, 14, , 
2020/10/23, 21, 18, 7, , 
2020/10/24, 6, 12, 7, , 
2020/10/25, 7, 20, 9, , 
2020/10/26, 6, 18, 11, , 
2020/10/27, 6, 16, 11, , 
2020/10/28, 6, 21, 8, , 
2020/10/29, 5, 17, 8, , 
2020/10/30, 7, 14, 9, , 
2020/10/31, 11, 11, 10, , 
2020/11/1, 11, 15, 11, , 
2020/11/2, 9, 18, 11, , 
2020/11/3, 11, 20, 8, , 
2020/11/4, 10, 15, 9, , 
2020/11/5, 16, 3, 9, , 
2020/11/6, 18, 3, 8, , 
2020/11/7, 10, 2, 9, , 
2020/11/8, 12, 1, 10, , 
2020/11/9, 16, 1, 9, , 
2020/11/10, 18, 1, 11, , 
2020/11/11, 19, 9, 13, , 
2020/11/12, 13, 13, 18, , 
2020/11/13, 16, 14, 13, , 
2020/11/14, 12, 17, 12, , 
2020/11/15, 15, 20, 9, , 
2020/11/16, 7, 18, 14, , 
2020/11/17, 10, 2, 19, , 
2020/11/18, 23, 20, 12, , 
2020/11/19, 10, 21, 9, , 
2020/11/20, 8, 20, 14, , 
2020/11/21, 12, 10, 17, , 
2020/11/22, 12, 9, 16, , 
2020/11/23, 18, 10, 9, , 
2020/11/24, 13, 3, 12, , 
2020/11/25, 18, 1, 16, , 
2020/11/26, 19, 2, 13, , 
2020/11/27, 16, 11, 10, , 
2020/11/28, 14, 17, 5, , 
2020/11/29, 13, 8, 12, , 
2020/11/30, 18, 2, 18, , 
2020/12/1, 12, 8, 12, , 
2020/12/2, 25, 7, 15, , 
2020/12/3, 22, 5, 20, , 
2020/12/4, 20, 7, 16, , 
2020/12/5, 21, 11, 12, , 
2020/12/6, 18, 15, 13, , 
2020/12/7, 5, 3, 17, , 
2020/12/8, 17, 1, 15, , 
2020/12/9, 18, 2, 14, , 
2020/12/10, 13, 4, 11, , 
2020/12/11, 13, 14, 12, , 
2020/12/12, 9, 12, 9, , 
2020/12/13, 4, 6, 14, , 
2020/12/14, 11, 1, 14, , 
2020/12/15, 21, , 11, , 
2020/12/16, 18, , 14, , 
2020/12/17, 17, , 12, , 
2020/12/18, 16, 1, 11, , 
2020/12/19, 11, 3, 11, , 
2020/12/20, 12, 2, 16, , 
2020/12/21, 12, 19, 6, , 
2020/12/22, 2, 18, 13, , 
2020/12/23, 6, 24, 3, , 
2020/12/24, 3, 20, 3, , 
2020/12/25, 2, 22, 6, , 
2020/12/26, 6, 13, 10, , 
2020/12/27, 8, 16, 18, , 
2020/12/28, 15, 18, 14, , 
2020/12/29, 10, 17, 14, , 
2020/12/30, 12, 15, 12, , 
2020/12/31, 13, 15, 13, , 
2021/1/1, 24, 11, 9, , 
2021/1/2, 22, 11, 8, , 
2021/1/3, 17, 11, 6, , 
2020/7/1, 11, 25, 6, , 
2020/7/2, 5, 30, 5, , 
2020/7/3, 7, 38, 5, , 
2020/7/4, 9, 29, 3, , 
2020/7/5, 8, 29, 4, , 
2020/7/6, 7, 36, 5, , 
2020/7/7, 9, 37, 7, , 
2020/7/8, 12, 34, 8, , 
2020/7/9, 13, 42, 8, , 
2020/7/10, 16, 26, 4, , 
2020/7/11, 8, 36, 3, , 
2020/7/12, 5, 39, 4, , 
2020/7/13, 8, 43, 10, , 
2020/7/14, 11, 40, 9, , 
2020/7/15, 15, 19, 7, , 
2020/7/16, 6, 34, 4, , 
2020/7/17, 7, 34, 7, , 
2020/7/18, 11, 46, 4, , 
2020/7/19, 11, 45, 10, , 
2020/7/20, 14, 42, 12, , 
2020/7/21, 17, 49, 9, , 
2020/7/22, 18, 44, 11, , 
2020/7/23, 21, 44, 8, , 
2020/7/24, 15, 38, 4, , 
2020/7/25, 12, 26, 5, , 
2020/7/26, 8, 31, 7, , 
2020/7/27, 8, 37, 7, , 
2020/7/28, 16, 37, 7, , 
2020/7/29, 11, 54, 10, , 
2020/7/30, 18, 67, 12, , 
2020/7/31, 25, 67, 8, , 
2020/8/1, 26, 40, 4, , 
2020/8/2, 9, 24, 7, , 
2020/8/3, 8, 22, 7, , 
2020/8/4, 6, 31, 5, , 
2020/8/5, 8, 40, 4, , 
2020/8/6, 12, 46, 7, , 
2020/8/7, 18, 55, 12, , 
2020/8/8, 24, 53, 10, , 
2020/8/9, 24, 49, 13, , 
2020/8/10, 25, 55, 9, , 
2020/8/11, 22, 49, 6, , 
2020/8/12, 26, 36, 8, , 
2020/8/13, 17, 38, 5, , 
2020/8/14, 10, 45, 3, , 
2020/8/15, 10, 42, 5, , 
2020/8/16, 10, 37, 6, , 
2020/8/17, 7, 24, 9, , 
2020/8/18, 8, 36, 6, , 
2020/8/19, 7, 40, 8, , 
2020/8/20, 10, 61, 9, , 
2020/8/21, 14, 27, 7, , 
2020/8/22, 10, 28, 4, , 
2020/8/23, 6, 33, 8, , 
2020/8/24, 7, 32, 10, , 
2020/8/25, 9, 32, 5, , 
2020/8/26, 10, 35, 7, , 
2020/8/27, 13, 37, 8, , 
2020/8/28, 11, 20, 6, , 
2020/8/29, 4, 27, 4, , 
2020/8/30, 3, 21, 8, , 
2020/8/31, 6, 25, 8, , 
2020/9/1, 9, 28, 9, , 
2020/9/2, 7, 35, 11, , 
2020/9/3, 8, 33, 8, , 
2020/9/4, 12, 42, 6, , 
2020/9/5, 13, 26, 5, , 
2020/9/6, 13, 18, 10, , 
2020/9/7, 13, 23, 10, , 
2020/9/8, 14, 29, 17, , 
2020/9/9, 15, 35, 13, , 
2020/9/10, 14, 33, 10, , 
2020/9/11, 19, 42, 15, , 
2020/9/12, 20, 43, 8, , 
2020/9/13, 17, 31, 11, , 
2020/9/14, 20, 44, 15, , 
2020/9/15, 24, 56, 13, , 
2020/9/16, 22, 40, 11, , 
2020/9/17, 29, 29, 5, , 
2020/9/18, 10, 27, 7, , 
2020/9/19, 16, 34, 8, , 
2020/9/20, 19, 36, 16, , 
2020/9/21, 21, 36, 13, , 
2020/9/22, 20, 20, 11, , 
2020/9/23, 9, 27, 9, , 
2020/9/24, 7, 24, 8, , 
2020/9/25, 2, 19, 4, , 
2020/9/26, 2, 25, 4, , 
2020/9/27, 2, 7, 13, , 
2020/9/28, 8, 11, 10, , 
2020/9/29, 8, 19, 11, , 
2020/9/30, 11, 14, 14, , 
2020/4/1, 18, 39, 18, , 
2020/4/2, 22, 40, 11, , 
2020/4/3, 23, 39, 9, , 
2020/4/4, 19, 39, 4, , 
2020/4/5, 16, 45, 12, , 
2020/4/6, 18, 51, 14, , 
2020/4/7, 23, 50, 15, , 
2020/4/8, 25, 56, 14, , 
2020/4/9, 22, 59, 9, , 
2020/4/10, 22, 45, 9, , 
2020/4/11, 15, 49, 6, , 
2020/4/12, 14, 47, 3, , 
2020/4/13, 14, 35, 3, , 
2020/4/14, 8, 35, 8, , 
2020/4/15, 16, 44, 14, , 
2020/4/16, 21, 53, 13, , 
2020/4/17, 23, 48, 10, , 
2020/4/18, 28, 42, 3, , 
2020/4/19, 18, 40, 3, , 
2020/4/20, 12, 43, 4, , 
2020/4/21, 15, 43, 4, , 
2020/4/22, 13, 47, 6, , 
2020/4/23, 18, 54, 12, , 
2020/4/24, 19, 57, 4, , 
2020/4/25, 18, 47, 4, , 
2020/4/26, 11, 39, 9, , 
2020/4/27, 12, 37, 8, , 
2020/4/28, 12, 25, 8, , 
2020/4/29, 4, 30, 7, , 
2020/4/30, 4, 30, 3, , 
2020/5/1, 3, 27, 4, , 
2020/5/2, 3, 39, 4, , 
2020/5/3, 4, 25, 8, , 
2020/5/4, 8, 22, 7, , 
2020/5/5, 13, 40, 7, , 
2020/5/6, 8, 41, 13, , 
2020/5/7, 13, 49, 11, , 
2020/5/8, 13, 50, 9, , 
2020/5/9, 18, 38, 4, , 
2020/5/10, 15, 25, 7, , 
2020/5/11, 12, 29, 4, , 
2020/5/12, 3, 23, 7, , 
2020/5/13, 8, 30, 6, , 
2020/5/14, 8, 30, 7, , 
2020/5/15, 11, 42, 7, , 
2020/5/16, 13, 55, 9, , 
2020/5/17, 13, 58, 13, , 
2020/5/18, 16, 51, 13, , 
2020/5/19, 15, 35, 6, , 
2020/5/20, 13, 42, 7, , 
2020/5/21, 13, 44, 9, , 
2020/5/22, 12, 32, 4, , 
2020/5/23, 10, 33, 2, , 
2020/5/24, 5, 31, 6, , 
2020/5/25, 9, 33, 6, , 
2020/5/26, 9, 41, 7, , 
2020/5/27, 10, 32, 9, , 
2020/5/28, 15, 33, 6, , 
2020/5/29, 7, 33, 5, , 
2020/5/30, 10, 38, 5, , 
2020/5/31, 10, 43, 3, , 
2020/6/1, 11, 43, 12, , 
2020/6/2, 16, 48, 8, , 
2020/6/3, 15, 35, 7, , 
2020/6/4, 8, 31, 5, , 
2020/6/5, 5, 20, 3, , 
2020/6/6, 6, 24, 4, , 
2020/6/7, 6, 33, 5, , 
2020/6/8, 6, 23, 6, , 
2020/6/9, 9, 22, 6, , 
2020/6/10, 14, 32, 4, , 
2020/6/11, 6, 43, 7, , 
2020/6/12, 8, 53, 6, , 
2020/6/13, 14, 32, 3, , 
2020/6/14, 5, 29, 7, , 
2020/6/15, 5, 28, 9, , 
2020/6/16, 9, 31, 8, , 
2020/6/17, 11, 33, 6, , 
2020/6/18, 4, 27, 8, , 
2020/6/19, 4, 28, 6, , 
2020/6/20, 6, 38, 4, , 
2020/6/21, 8, 25, 9, , 
2020/6/22, 13, 45, 7, , 
2020/6/23, 17, 46, 8, , 
2020/6/24, 16, 39, 5, , 
2020/6/25, 11, 44, 7, , 
2020/6/26, 14, 42, 3, , 
2020/6/27, 11, 37, 3, , 
2020/6/28, 10, 20, 6, , 
2020/6/29, 6, 31, 6, , 
2020/6/30, 8, 32, 9, , 
2020/1/1, 145, 3, 17, , 
2020/1/2, 32, 18, 17, , 
2020/1/3, 14, 26, 6, , 
2020/1/4, 7, 23, 11, , 
2020/1/5, 12, 9, 20, , 
2020/1/6, 13, 10, 25, , 
2020/1/7, 15, 2, 26, , 
2020/1/8, 18, 13, 28, , 
2020/1/9, 24, 24, 16, , 
2020/1/10, 14, 22, 9, , 
2020/1/11, 10, 11, 16, , 
2020/1/12, 14, 8, 24, , 
2020/1/13, 15, 10, 31, , 
2020/1/14, 23, 18, 28, , 
2020/1/15, 21, 20, 19, , 
2020/1/16, 18, 21, 21, , 
2020/1/17, 16, 20, 12, , 
2020/1/18, 8, 17, 13, , 
2020/1/19, 13, 14, 13, , 
2020/1/20, 15, 12, 11, , 
2020/1/21, 17, 4, 19, , 
2020/1/22, 28, 8, 15, , 
2020/1/23, 27, 5, 22, , 
2020/1/24, 30, 9, 24, , 
2020/1/25, 30, 10, 21, , 
2020/1/26, 34, 20, 19, , 
2020/1/27, 22, 28, 10, , 
2020/1/28, 11, 28, 9, , 
2020/1/29, 6, 23, 15, , 
2020/1/30, 9, 25, 7, , 
2020/1/31, 7, 24, 8, , 
2020/2/1, 5, 27, 4, , 
2020/2/2, 3, 30, 10, , 
2020/2/3, 3, 26, 6, , 
2020/2/4, 10, 26, 11, , 
2020/2/5, 8, 19, 21, , 
2020/2/6, 15, 15, 21, , 
2020/2/7, 23, 17, 22, , 
2020/2/8, 24, 30, 15, , 
2020/2/9, 11, 30, 4, , 
2020/2/10, 8, 31, 6, , 
2020/2/11, 4, 28, 8, , 
2020/2/12, 7, 32, 15, , 
2020/2/13, 9, 32, 10, , 
2020/2/14, 6, 17, 16, , 
2020/2/15, 8, 20, 16, , 
2020/2/16, 8, 35, 10, , 
2020/2/17, 8, 31, 7, , 
2020/2/18, 4, 27, 8, , 
2020/2/19, 6, 25, 18, , 
2020/2/20, 11, 28, 9, , 
2020/2/21, 7, 30, 10, , 
2020/2/22, 6, 31, 3, , 
2020/2/23, 4, 27, 10, , 
2020/2/24, 5, 28, 6, , 
2020/2/25, 4, 32, 6, , 
2020/2/26, 3, 29, 8, , 
2020/2/27, 6, 28, 9, , 
2020/2/28, 7, 32, 11, , 
2020/2/29, 15, 34, 4, , 
2020/3/1, 6, 28, 10, , 
2020/3/2, 4, 23, 12, , 
2020/3/3, 7, 27, 13, , 
2020/3/4, 10, 21, 15, , 
2020/3/5, 9, 28, 7, , 
2020/3/6, 6, 29, 7, , 
2020/3/7, 7, 35, 13, , 
2020/3/8, 8, 25, 13, , 
2020/3/9, 8, 26, 9, , 
2020/3/10, 5, 23, 6, , 
2020/3/11, 4, 22, 8, , 
2020/3/12, 6, 28, 9, , 
2020/3/13, 6, 29, 13, , 
2020/3/14, 12, 30, 8, , 
2020/3/15, 10, 29, 18, , 
2020/3/16, 14, 20, 18, , 
2020/3/17, 17, 31, 15, , 
2020/3/18, 21, 34, 13, , 
2020/3/19, 19, 35, 14, , 
2020/3/20, 23, 23, 3, , 
2020/3/21, 8, 33, 1, , 
2020/3/22, 6, 31, 4, , 
2020/3/23, 8, 34, 5, , 
2020/3/24, 19, 35, 5, , 
2020/3/25, 20, 29, 5, , 
2020/3/26, 17, 33, 7, , 
2020/3/27, 34, 39, 13, , 
2020/3/28, 58, 33, 7, , 
2020/3/29, 53, , , , 
2019/10/1, 9, 22, 8, , 
2019/10/2, 5, 23, 7, , 
2019/10/3, 4, 17, 12, , 
2019/10/4, 8, 22, 4, , 
2019/10/5, 4, 14, 8, , 
2019/10/6, 7, 7, 12, , 
2019/10/7, 8, 10, 14, , 
2019/10/8, 9, 21, 13, , 
2019/10/9, 8, 20, 9, , 
2019/10/10, 5, 19, 13, , 
2019/10/11, 12, 25, 17, , 
2019/10/12, 17, 15, 14, , 
2019/10/13, 16, 14, 19, , 
2019/10/14, 21, 21, 15, , 
2019/10/15, 21, 26, 11, , 
2019/10/16, 6, 23, 16, , 
2019/10/17, 11, 22, 17, , 
2019/10/18, 13, 18, 12, , 
2019/10/19, 15, 21, 10, , 
2019/10/20, 12, 20, 12, , 
2019/10/21, 21, 2, 17, , 
2019/10/22, 30, 5, 10, , 
2019/10/23, 19, 1, 12, , 
2019/10/24, 17, 18, 15, , 
2019/10/25, 16, 17, 17, , 
2019/10/26, 17, 28, 10, , 
2019/10/27, 15, 15, 10, , 
2019/10/28, 10, 9, 10, , 
2019/10/29, 14, 17, 6, , 
2019/10/30, 14, 14, 8, , 
2019/10/31, 22, 3, 7, , 
2019/11/1, 11, 14, 13, , 
2019/11/2, 8, 24, 10, , 
2019/11/3, 11, 21, 13, , 
2019/11/4, 6, 22, 14, , 
2019/11/5, 5, 12, 15, , 
2019/11/6, 7, 9, 15, , 
2019/11/7, 10, 15, 14, , 
2019/11/8, 15, 15, 10, , 
2019/11/9, 8, 5, 12, , 
2019/11/10, 10, 7, 13, , 
2019/11/11, 11, 17, 16, , 
2019/11/12, 9, 16, 18, , 
2019/11/13, 8, 10, 14, , 
2019/11/14, 10, 10, 19, , 
2019/11/15, 15, 12, 14, , 
2019/11/16, 17, 11, 8, , 
2019/11/17, 16, 17, 14, , 
2019/11/18, 5, 7, 21, , 
2019/11/19, 17, 7, 15, , 
2019/11/20, 23, 3, 16, , 
2019/11/21, 30, 3, 12, , 
2019/11/22, 13, 12, 16, , 
2019/11/23, 9, 3, 20, , 
2019/11/24, 15, , 14, , 
2019/11/25, 24, 4, 13, , 
2019/11/26, 17, 4, 19, , 
2019/11/27, 11, 24, 11, , 
2019/11/28, 6, 23, 10, , 
2019/11/29, 5, 21, 10, , 
2019/11/30, 10, 13, 12, , 
2019/12/1, 13, 11, 17, , 
2019/12/2, 21, 16, 20, , 
2019/12/3, 16, 7, 18, , 
2019/12/4, 17, 1, 23, , 
2019/12/5, 30, 13, 27, , 
2019/12/6, 21, 26, 8, , 
2019/12/7, 8, 27, 9, , 
2019/12/8, 6, 28, 8, , 
2019/12/9, 6, 19, 14, , 
2019/12/10, 11, 12, 26, , 
2019/12/11, 16, 18, 18, , 
2019/12/12, 8, 28, 13, , 
2019/12/13, 8, 32, 5, , 
2019/12/14, 6, 26, 7, , 
2019/12/15, 4, 11, 24, , 
2019/12/16, 22, 19, 25, , 
2019/12/17, 19, 12, 25, , 
2019/12/18, 24, 1, 24, , 
2019/12/19, 29, 12, 24, , 
2019/12/20, 14, 23, 13, , 
2019/12/21, 5, 24, 10, , 
2019/12/22, 4, 24, 6, , 
2019/12/23, 4, 21, 7, , 
2019/12/24, 5, 25, 4, , 
2019/12/25, 3, 19, 10, , 
2019/12/26, 6, 14, 12, , 
2019/12/27, 7, 19, 10, , 
2019/12/28, 10, 13, 13, , 
2019/12/29, 12, , , , 
2019/7/1, 19, 47, 7, , 
2019/7/2, 13, 51, 8, , 
2019/7/3, 13, 55, 9, , 
2019/7/4, 15, 55, 12, , 
2019/7/5, 18, 58, 10, , 
