date, pm10, o3, no2, so2, co
2021/2/10, 21, 28, 10, , 
2021/2/11, 13, 29, 11, , 
2021/2/12, 12, 31, 4, , 
2021/2/13, 9, 27, 9, , 
2021/2/14, 14, 22, 16, , 
2021/2/15, 17, 24, 11, , 
2021/2/16, 10, 29, 8, , 
2021/2/17, 7, 21, 11, , 
2021/2/18, 10, 22, 10, , 
2021/2/19, 11, 19, 8, , 
2021/2/20, 18, 12, 8, , 
2021/2/21, 19, 7, 8, , 
2021/2/22, 13, 14, 14, , 
2021/2/23, 26, 16, 16, , 
2021/2/24, 49, 14, 16, , 
2021/2/25, 57, 27, 11, , 
2021/2/26, 52, 27, 4, , 
2021/2/27, 13, 28, 4, , 
2021/2/28, 12, 27, 10, , 
2021/1/4, 15, 15, 9, , 
2021/1/5, 18, 11, 8, , 
2021/1/6, 19, 10, 10, , 
2021/1/7, 10, 18, 7, , 
2021/1/8, 10, 14, 10, , 
2021/1/9, 14, 9, 13, , 
2021/1/10, 16, 6, 17, , 
2021/1/11, 21, 28, 7, , 
2021/1/12, 8, 26, 6, , 
2021/1/13, 6, 22, 9, , 
2021/1/14, 6, 13, 14, , 
2021/1/15, 15, 17, 9, , 
2021/1/16, 15, 13, 12, , 
2021/1/17, 14, 28, 6, , 
2021/1/18, 5, 33, 8, , 
2021/1/19, 2, 22, 18, , 
2021/1/20, 14, 20, 22, , 
2021/1/21, 17, 24, 13, , 
2021/1/22, 6, 24, 7, , 
2021/1/23, 5, 30, 3, , 
2021/1/24, 5, 18, 14, , 
2021/1/25, 9, 28, 5, , 
2021/1/26, 6, 24, 10, , 
2021/1/27, 6, 21, 6, , 
2021/1/28, 2, 29, 2, , 
2021/1/29, 2, 29, 2, , 
2021/1/30, 4, 18, 3, , 
2021/1/31, 11, 24, 7, , 
2020/10/1, 11, 20, 7, , 
2020/10/2, 9, 27, 2, , 
2020/10/3, 4, 26, 6, , 
2020/10/4, 5, 18, 7, , 
2020/10/5, 5, 18, 5, , 
2020/10/6, 4, 20, 3, , 
2020/10/7, 4, 25, 5, , 
2020/10/8, 4, 21, 6, , 
2020/10/9, 7, 19, 5, , 
2020/10/10, 8, 22, 4, , 
2020/10/11, 6, 17, 7, , 
2020/10/12, 8, 13, 10, , 
2020/10/13, 9, 16, 10, , 
2020/10/14, 9, 9, 8, , 
2020/10/15, 7, 11, 9, , 
2020/10/16, 6, 16, 6, , 
2020/10/17, 8, 19, 6, , 
2020/10/18, 10, 18, 7, , 
2020/10/19, 11, 5, 11, , 
