date, pm10, o3, no2, so2, co
2020/10/20, 21, 7, 29, , 
2020/10/21, 35, 4, 30, , 
2020/10/22, 32, 19, 26, , 
2020/10/23, 28, 18, 23, , 
2020/10/24, 12, 12, 14, , 
2020/10/25, 14, 20, 21, , 
2020/10/26, 13, 19, 25, , 
2020/10/27, 12, 16, 26, , 
2020/10/28, 19, 21, 24, , 
2020/10/29, 12, 17, 23, , 
2020/10/30, 14, 14, 18, , 
2020/10/31, 18, 11, 22, , 
2020/11/1, 18, 15, 25, , 
2020/11/2, 17, 18, 27, , 
2020/11/3, 20, 20, 18, , 
2020/11/4, 15, 14, 14, , 
2020/11/5, 20, 3, 13, , 
2020/11/6, 23, 3, 12, , 
2020/11/7, 14, 2, 13, , 
2020/11/8, 15, 1, 14, , 
2020/11/9, 22, 1, 14, , 
2020/11/10, 23, 1, 15, , 
2020/11/11, 25, 8, 25, , 
2020/11/12, 20, 13, 30, , 
2020/11/13, 23, 14, 22, , 
2020/11/14, 17, 17, 18, , 
2020/11/15, 19, 20, 25, , 
2020/11/16, 18, 18, 27, , 
2020/11/17, 25, 2, 26, , 
2020/11/18, 28, 20, 28, , 
2020/11/19, 25, 21, 24, , 
2020/11/20, 17, 20, 21, , 
2020/11/21, 16, 11, 25, , 
2020/11/22, 19, 9, 25, , 
2020/11/23, 29, 10, 15, , 
2020/11/24, 20, 4, 17, , 
2020/11/25, 25, 1, 21, , 
2020/11/26, 25, 2, 17, , 
2020/11/27, 21, 11, 13, , 
2020/11/28, 18, 17, 9, , 
2020/11/29, 15, 8, 20, , 
2020/11/30, 24, 2, 24, , 
2020/12/1, 20, 8, 18, , 
2020/12/2, 35, 7, 24, , 
2020/12/3, 38, 5, 27, , 
2020/12/4, 38, 7, 22, , 
2020/12/5, 29, 11, 19, , 
2020/12/6, 21, 15, 24, , 
2020/12/7, 12, 3, 22, , 
2020/12/8, 28, 1, 23, , 
2020/12/9, 41, 2, 19, , 
2020/12/10, 22, 4, 15, , 
2020/12/11, 18, 14, 22, , 
2020/12/12, 13, 12, 16, , 
2020/12/13, 7, 6, 20, , 
2020/12/14, 23, 1, 22, , 
2020/12/15, 36, , 16, , 
2020/12/16, 32, 1, 21, , 
2020/12/17, 34, 2, 19, , 
2020/12/18, 27, 1, 14, , 
2020/12/19, 16, 3, 13, , 
2020/12/20, 16, 3, 21, , 
2020/12/21, 16, 19, 15, , 
2020/12/22, 6, 18, 27, , 
2020/12/23, 22, 24, 12, , 
2020/12/24, 9, 21, 10, , 
2020/12/25, 6, 22, 17, , 
2020/12/26, 17, 13, 15, , 
2020/12/27, 15, 16, 27, , 
2020/12/28, 26, 18, 27, , 
2020/12/29, 27, 18, 27, , 
2020/12/30, 38, 15, 17, , 
2020/12/31, 23, 15, 20, , 
2021/1/1, 42, , , , 
2020/7/1, 27, 25, 26, , 
2020/7/2, 13, 30, 29, , 
2020/7/3, 17, 38, 27, , 
2020/7/4, 19, 29, 20, , 
2020/7/5, 13, 29, 24, , 
2020/7/6, 16, 36, 26, , 
2020/7/7, 15, 37, 34, , 
2020/7/8, 22, 33, 39, , 
2020/7/9, 26, 42, 37, , 
2020/7/10, 24, 26, 21, , 
2020/7/11, 12, 36, 9, , 
2020/7/12, 7, 39, 13, , 
2020/7/13, 12, 43, 34, , 
2020/7/14, 22, 40, 35, , 
2020/7/15, 25, 19, 28, , 
2020/7/16, 15, 34, 23, , 
2020/7/17, 14, 34, 25, , 
2020/7/18, 16, 46, 22, , 
2020/7/19, 15, 45, 44, , 
2020/7/20, 23, 42, 41, , 
2020/7/21, 26, 49, 30, , 
2020/7/22, 22, 44, 42, , 
2020/7/23, 28, 44, 35, , 
2020/7/24, 22, 38, 25, , 
2020/7/25, 17, 26, 20, , 
2020/7/26, 15, 31, 23, , 
2020/7/27, 12, 37, 34, , 
2020/7/28, 25, 37, 32, , 
2020/7/29, 19, 54, 39, , 
2020/7/30, 28, 67, 49, , 
2020/7/31, 33, 67, 41, , 
2020/8/1, 33, 40, 22, , 
2020/8/2, 15, 24, 29, , 
2020/8/3, 19, 22, 27, , 
2020/8/4, 14, 31, 15, , 
2020/8/5, 12, 40, 13, , 
2020/8/6, 15, 46, 22, , 
2020/8/7, 25, 55, 30, , 
2020/8/8, 31, 53, 25, , 
2020/8/9, 29, 49, 29, , 
2020/8/10, 31, 55, 27, , 
2020/8/11, 28, 49, 18, , 
2020/8/12, 31, 36, 33, , 
2020/8/13, 24, 38, 30, , 
2020/8/14, 18, 45, 18, , 
2020/8/15, 14, 42, 11, , 
2020/8/16, 13, 37, 32, , 
2020/8/17, 13, 24, 28, , 
2020/8/18, 17, 36, 24, , 
2020/8/19, 11, 40, 26, , 
2020/8/20, 15, 61, 28, , 
2020/8/21, 21, 27, 26, , 
2020/8/22, 16, 28, 19, , 
2020/8/23, 13, 33, 31, , 
2020/8/24, 14, 32, 31, , 
2020/8/25, 16, 32, 24, , 
2020/8/26, 18, 35, 26, , 
2020/8/27, 21, 37, 28, , 
2020/8/28, 19, 20, 20, , 
2020/8/29, 9, 27, 15, , 
2020/8/30, 7, 21, 22, , 
2020/8/31, 10, 25, 21, , 
2020/9/1, 16, 28, 26, , 
2020/9/2, 14, 35, 34, , 
2020/9/3, 16, 33, 32, , 
2020/9/4, 18, 42, 28, , 
2020/9/5, 19, 26, 18, , 
2020/9/6, 19, 18, 21, , 
2020/9/7, 21, 23, 21, , 
2020/9/8, 19, 29, 33, , 
2020/9/9, 21, 35, 25, , 
2020/9/10, 22, 33, 21, , 
2020/9/11, 26, 42, 31, , 
2020/9/12, 26, 43, 19, , 
2020/9/13, 20, 31, 23, , 
2020/9/14, 27, 44, 37, , 
2020/9/15, 31, 56, 41, , 
2020/9/16, 30, 40, 23, , 
2020/9/17, 37, 29, 10, , 
2020/9/18, 13, 27, 16, , 
2020/9/19, 17, 34, 17, , 
2020/9/20, 20, 36, 28, , 
2020/9/21, 26, 36, 30, , 
2020/9/22, 28, 20, 29, , 
2020/9/23, 18, 27, 24, , 
2020/9/24, 16, 24, 29, , 
2020/9/25, 11, 19, 14, , 
2020/9/26, 5, 25, 10, , 
2020/9/27, 4, 7, 21, , 
2020/9/28, 17, 11, 24, , 
2020/9/29, 17, 19, 20, , 
2020/9/30, 20, 14, 25, , 
2020/4/1, 26, 39, 38, , 
2020/4/2, 32, 40, 30, , 
2020/4/3, 31, 39, 16, , 
2020/4/4, 23, 39, 6, , 
2020/4/5, 17, 44, 32, , 
2020/4/6, 34, 51, 27, , 
2020/4/7, 45, 50, 40, , 
2020/4/8, 34, 56, 40, , 
2020/4/9, 31, 59, 22, , 
2020/4/10, 29, 45, 25, , 
2020/4/11, 20, 49, 24, , 
2020/4/12, 22, 47, 11, , 
2020/4/13, 17, 35, 18, , 
2020/4/14, 13, 35, 16, , 
2020/4/15, 20, 44, 43, , 
2020/4/16, 30, 53, 42, , 
2020/4/17, 32, 48, 30, , 
2020/4/18, 37, 42, 9, , 
2020/4/19, 21, 40, 6, , 
2020/4/20, 16, 43, 7, , 
2020/4/21, 17, 43, 9, , 
2020/4/22, 17, 47, 17, , 
2020/4/23, 22, 54, 40, , 
2020/4/24, 29, 57, 20, , 
2020/4/25, 25, 47, 12, , 
2020/4/26, 12, 38, 33, , 
2020/4/27, 20, 37, 31, , 
2020/4/28, 23, 25, 27, , 
2020/4/29, 11, 30, 28, , 
2020/4/30, 12, 30, 16, , 
2020/5/1, 9, 27, 18, , 
2020/5/2, 8, 39, 16, , 
2020/5/3, 8, 25, 32, , 
2020/5/4, 17, 22, 24, , 
2020/5/5, 22, 40, 25, , 
2020/5/6, 13, 41, 32, , 
2020/5/7, 22, 49, 47, , 
2020/5/8, 24, 50, 30, , 
2020/5/9, 27, 38, 16, , 
2020/5/10, 18, 25, 20, , 
2020/5/11, 18, 29, 13, , 
2020/5/12, 7, 23, 18, , 
2020/5/13, 14, 30, 18, , 
2020/5/14, 11, 30, 21, , 
2020/5/15, 15, 42, 16, , 
2020/5/16, 16, 54, 30, , 
2020/5/17, 17, 58, 41, , 
2020/5/18, 23, 51, 42, , 
2020/5/19, 25, 35, 26, , 
2020/5/20, 19, 42, 25, , 
2020/5/21, 19, 44, 40, , 
2020/5/22, 22, 32, 27, , 
2020/5/23, 19, 32, 16, , 
2020/5/24, 8, 31, 29, , 
2020/5/25, 16, 33, 23, , 
2020/5/26, 16, 41, 20, , 
2020/5/27, 15, 32, 24, , 
2020/5/28, 21, 33, 15, , 
2020/5/29, 11, 33, 14, , 
2020/5/30, 13, 38, 12, , 
2020/5/31, 12, 43, 9, , 
2020/6/1, 13, 43, 28, , 
2020/6/2, 23, 48, 43, , 
2020/6/3, 26, 35, 35, , 
2020/6/4, 21, 31, 25, , 
2020/6/5, 13, 20, 16, , 
2020/6/6, 10, 24, 19, , 
2020/6/7, 10, 33, 14, , 
2020/6/8, 8, 23, 16, , 
2020/6/9, 15, 22, 24, , 
2020/6/10, 26, 32, 17, , 
2020/6/11, 12, 43, 17, , 
2020/6/12, 12, 53, 30, , 
2020/6/13, 22, 32, 14, , 
2020/6/14, 11, 29, 29, , 
2020/6/15, 15, 28, 32, , 
2020/6/16, 19, 31, 22, , 
2020/6/17, 20, 33, 29, , 
2020/6/18, 10, 27, 30, , 
2020/6/19, 14, 28, 25, , 
2020/6/20, 13, 38, 24, , 
2020/6/21, 11, 25, 31, , 
2020/6/22, 22, 45, 26, , 
2020/6/23, 20, 46, 24, , 
2020/6/24, 26, 39, 15, , 
2020/6/25, 16, 44, 31, , 
2020/6/26, 25, 42, 28, , 
2020/6/27, 22, 37, 22, , 
2020/6/28, 18, 20, 26, , 
2020/6/29, 14, 31, 32, , 
2020/6/30, 14, 32, 34, , 
2020/1/1, 169, 3, 24, , 
2020/1/2, 42, 18, 29, , 
2020/1/3, 31, 26, 19, , 
2020/1/4, 14, 23, 21, , 
2020/1/5, 19, 9, 30, , 
2020/1/6, 25, 10, 40, , 
2020/1/7, 28, 2, 38, , 
2020/1/8, 43, 13, 44, , 
2020/1/9, 47, 24, 34, , 
2020/1/10, 35, 21, 25, , 
2020/1/11, 31, 11, 26, , 
2020/1/12, 37, 8, 32, , 
2020/1/13, 27, 12, 46, , 
2020/1/14, 36, 18, 40, , 
2020/1/15, 37, 20, 31, , 
2020/1/16, 33, 21, 39, , 
2020/1/17, 39, 20, 30, , 
2020/1/18, 19, 17, 27, , 
2020/1/19, 19, 14, 21, , 
2020/1/20, 20, 12, 18, , 
2020/1/21, 31, 4, 26, , 
2020/1/22, 46, 8, 22, , 
2020/1/23, 37, 5, 33, , 
2020/1/24, 50, 9, 36, , 
2020/1/25, 50, 10, 31, , 
2020/1/26, 56, 20, 36, , 
2020/1/27, 46, 28, 23, , 
2020/1/28, 18, 28, 28, , 
2020/1/29, 21, 23, 35, , 
2020/1/30, 28, 25, 19, , 
2020/1/31, 17, 24, 22, , 
2020/2/1, 16, 27, 12, , 
2020/2/2, 8, 30, 31, , 
2020/2/3, 10, 26, 23, , 
2020/2/4, 17, 26, 27, , 
2020/2/5, 25, 19, 37, , 
2020/2/6, 35, 15, 29, , 
2020/2/7, 37, 17, 35, , 
2020/2/8, 42, 30, 33, , 
2020/2/9, 22, 30, 15, , 
2020/2/10, 14, 31, 19, , 
2020/2/11, 8, 28, 22, , 
2020/2/12, 16, 32, 27, , 
2020/2/13, 16, 32, 27, , 
2020/2/14, 22, 17, 29, , 
2020/2/15, 17, 20, 32, , 
2020/2/16, 15, 35, 25, , 
2020/2/17, 17, 31, 25, , 
2020/2/18, 14, 27, 25, , 
2020/2/19, 13, 25, 36, , 
2020/2/20, 22, 28, 29, , 
2020/2/21, 15, 30, 28, , 
2020/2/22, 14, 31, 9, , 
2020/2/23, 9, 27, 24, , 
2020/2/24, 13, 28, 20, , 
2020/2/25, 12, 32, 20, , 
2020/2/26, 9, 29, 22, , 
2020/2/27, 13, 28, 28, , 
2020/2/28, 18, 32, 25, , 
2020/2/29, 25, 34, 18, , 
2020/3/1, 11, 28, 19, , 
2020/3/2, 9, 23, 40, , 
2020/3/3, 20, 27, 35, , 
2020/3/4, 21, 21, 28, , 
2020/3/5, 15, 29, 18, , 
2020/3/6, 8, 29, 24, , 
2020/3/7, 24, 35, 30, , 
2020/3/8, 20, 25, 32, , 
2020/3/9, 16, 26, 23, , 
2020/3/10, 10, 23, 17, , 
2020/3/11, 11, 22, 22, , 
2020/3/12, 16, 28, 28, , 
2020/3/13, 14, 29, 22, , 
2020/3/14, 16, 30, 14, , 
2020/3/15, 14, 29, 36, , 
2020/3/16, 26, 20, 34, , 
2020/3/17, 30, 31, 26, , 
2020/3/18, 31, 34, 25, , 
2020/3/19, 25, 35, 29, , 
2020/3/20, 30, 23, 7, , 
2020/3/21, 10, 33, 2, , 
2020/3/22, 10, 31, 8, , 
2020/3/23, 11, 34, 10, , 
2020/3/24, 21, 35, 8, , 
2020/3/25, 20, 29, 8, , 
2020/3/26, 19, 33, 16, , 
2020/3/27, 39, 39, 27, , 
2020/3/28, 62, 33, 16, , 
2020/3/29, 56, , , , 
2019/10/1, 20, 22, 30, , 
2019/10/2, 14, 23, 24, , 
2019/10/3, 11, 17, 28, , 
2019/10/4, 15, 22, 22, , 
2019/10/5, 12, 14, 15, , 
2019/10/6, 13, 8, 24, , 
